"","Date","Location","loc_temp","Taxon","Sample_ID","Body_Length_cm","Weight_g","Size_cat","Time_sec","Distance_cm","Acclim_temp","test","Temp","end_time_s","Notes","X","movement","speed","temp_range"
"108","18-Jun-25","Kobbefjord",0.7,"muscids","M2-K18",NA,NA,NA,13.9,3,NA,"CCRT",0.22,"","","","yes",0.215827338129496,"0-5"
"109","18-Jun-25","Kobbefjord",0.9,"muscids","M5-K18",NA,NA,NA,6.94,2,NA,"CCRT",0.32,"","","","yes",0.288184438040346,"0-5"
"110","18-Jun-25","Kobbefjord",4,"muscids","M6-K18",NA,NA,NA,3.5,2,NA,"CCRT",0.34,"","","","yes",0.571428571428571,"0-5"
"111","18-Jun-25","Kobbefjord",5.9,"muscids","M7-K18",NA,NA,NA,NA,0,NA,"CCRT",0.38,"","fail","","no",NA,"5-10"
"112","18-Jun-25","Kobbefjord",6.8,"muscids","M8-K18",NA,NA,NA,NA,0,NA,"CCRT",0.42,"","fail","","no",NA,"5-10"
"113","18-Jun-25","Kobbefjord",2.3,"muscids","M9-K18",NA,NA,NA,NA,0,NA,"CCRT",0.45,"","fail","","no",NA,"0-5"
"114","18-Jun-25","Kobbefjord",2.6,"muscids","M10-K18",NA,NA,NA,NA,0,NA,"CCRT",0.49,"","fail","","no",NA,"0-5"
"115","12-Jun-25","Kobbefjord",15,"lady_bird","C1-N12",0.04,0.0187,"S",13.29,3,NA,"HKDT",NA,"","","","yes",0.225733634311512,"15-20"
"116","12-Jun-25","Kobbefjord",13.8,"lady_bird","C2-N12",0.04,0.0146,"S",15.32,7,NA,"",NA,"","","","yes",0.456919060052219,"10-15"
"117","12-Jun-25","Kobbefjord",13.4,"lady_bird","C5-N12",0.04,0.0257,"S",19.68,13,NA,"",NA,"","","","yes",0.660569105691057,"10-15"
"118","12-Jun-25","Kobbefjord",15.1,"lady_bird","C4-N12",0.03,0.0144,"S",NA,0,NA,"",NA,"","","","no",NA,"15-20"
"119","12-Jun-25","Kobbefjord",14.6,"lady_bird","C3-N12",0.03,NA,NA,20.3,13,NA,"",NA,"","","","yes",0.640394088669951,"10-15"
"120","12-Jun-25","Kobbefjord",11.1,"syrphids","M7-N12",0.65,0.0085,"S",NA,0,NA,"HKDT",38,"269","fail","","no",NA,"10-15"
"121","12-Jun-25","Kobbefjord",11.6,"syrphids","M8-N12",0.6,0.0046,"S",16.77,3.5,NA,"HKDT",38,"1305","","","yes",0.208706022659511,"10-15"
"122","12-Jun-25","Kobbefjord",27.5,"syrphids","S1-N12",NA,NA,NA,NA,0,NA,"HKDT",NA,"360","","","no",NA,"25-30"
"123","12-Jun-25","Kobbefjord",27.9,"syrphids","S3-N12",NA,NA,NA,NA,0,NA,"HKDT",NA,"","","","no",NA,"25-30"
"124","12-Jun-25","Kobbefjord",27.7,"syrphids","U6-N12",NA,NA,NA,NA,0,NA,"HKDT",NA,"","","","no",NA,"25-30"
"125","19-Jun-25","Kobbefjord",1.7,"wolf_spider","K19-WS1",NA,0.0466,"L",30.65,25,NA,"HKDT",NA,"","","","yes",0.815660685154976,"0-5"
"126","19-Jun-25","Kobbefjord",1.1,"wolf_spider","K19-WS2",NA,0.0532,"L",47.34,23,NA,"",NA,"","acclimated at cold","","yes",0.485847063793832,"0-5"
"127","19-Jun-25","Kobbefjord",1.1,"wolf_spider","K19-WS3",NA,0.0393,"S",41.11,22,NA,"",NA,"","acclimated at cold","","yes",0.535149598637801,"0-5"
"128","19-Jun-25","Kobbefjord",1.1,"wolf_spider","K19-WS4",NA,0.0119,"S",17.93,3,NA,"",NA,"","acclimated at cold","","yes",0.167317345231456,"0-5"
"129","19-Jun-25","Kobbefjord",1.5,"wolf_spider","K19-WS5",NA,0.0965,"L",31.54,6,NA,"",NA,"","acclimated at cold","","yes",0.190234622701332,"0-5"
"130","19-Jun-25","Kobbefjord",7.8,"wolf_spider","K19-WS6",NA,0.0088,"S",12.65,25,NA,"",NA,"","acclimated at cold","","yes",1.97628458498024,"5-10"
"131","19-Jun-25","Kobbefjord",7.6,"wolf_spider","K19-WS7",NA,0.063,"L",15.51,25,NA,"",NA,"","acclimated at cold","","yes",1.61186331399097,"5-10"
"132","19-Jun-25","Kobbefjord",7.7,"wolf_spider","K19-WS8",NA,0.0437,"L",7.92,25,NA,"",NA,"","acclimated at cold","","yes",3.15656565656566,"5-10"
"133","19-Jun-25","Kobbefjord",7.8,"wolf_spider","K19-WS9",NA,0.0088,"S",12.3,4,NA,"",NA,"","acclimated at cold","","yes",0.32520325203252,"5-10"
"134","19-Jun-25","Kobbefjord",7.5,"wolf_spider","K19-WS10",NA,0.0786,"L",8.96,17,NA,"",NA,"","acclimated at cold","","yes",1.89732142857143,"5-10"
"135","19-Jun-25","Kobbefjord",7.6,"wolf_spider","K19-WS11",NA,0.051,"L",7.54,25,NA,"",NA,"","acclimated at cold","","yes",3.31564986737401,"5-10"
"136","19-Jun-25","Kobbefjord",1.1,"wolf_spider","K19-WS12",NA,0.0478,"L",15.31,25,NA,"",NA,"","acclimated at cold","","yes",1.63291966035271,"0-5"
"137","19-Jun-25","Kobbefjord",0.8,"wolf_spider","K19-WS13",NA,NA,NA,7.33,3,NA,"",NA,"","acclimated at cold","","yes",0.409276944065484,"0-5"
"138","19-Jun-25","Kobbefjord",1.2,"wolf_spider","K19-WS14",NA,0.0048,"S",14.1,6,NA,"",NA,"","acclimated at cold","","yes",0.425531914893617,"0-5"
"139","19-Jun-25","Kobbefjord",7.1,"wolf_spider","K19-WS15",NA,0.0656,"L",5.38,25,NA,"",NA,"","acclimated at cold","","yes",4.64684014869889,"5-10"
"140","19-Jun-25","Kobbefjord",7.4,"wolf_spider","K19-WS16",NA,0.0886,"L",7.14,25,NA,"",NA,"","acclimated at cold","","yes",3.50140056022409,"5-10"
